#k-distance eigenvalue[eV]
1.38514173 -34.98310000
1.39343598 -34.98320000
1.40173026 -34.98330000
1.41002451 -34.98340000
1.41831878 -34.98350000
1.42661304 -34.98360000
1.43490731 -34.98370000
1.44320156 -34.98380000
1.45149584 -34.98390000
1.45979009 -34.98400000
1.46808436 -34.98420000
1.47637862 -34.98430000
1.48467289 -34.98440000
1.49296714 -34.98460000
1.50126141 -34.98470000
1.50955567 -34.98490000
1.51784994 -34.98500000
1.52614419 -34.98520000
1.53443847 -34.98540000
1.54273272 -34.98550000
1.55102699 -34.98570000
1.55932125 -34.98580000
1.56761552 -34.98600000
1.57590977 -34.98620000
1.58420405 -34.98640000
1.59249830 -34.98650000
1.60079257 -34.98670000
1.60908683 -34.98690000
1.61738110 -34.98700000
1.62567535 -34.98720000
1.63396963 -34.98740000
1.64226388 -34.98760000
1.65055815 -34.98770000
1.65885241 -34.98790000
1.66714668 -34.98810000
1.67544093 -34.98820000
1.68373520 -34.98840000
1.69202946 -34.98860000
1.70032373 -34.98870000
1.70861798 -34.98890000
1.71691226 -34.98900000
1.72520651 -34.98920000
1.73350078 -34.98740000
1.74179504 -34.98550000
1.75008931 -34.98360000
1.75838356 -34.98170000
1.76667784 -34.98000000
1.77497209 -34.97820000
1.78326636 -34.97660000
1.79156062 -34.97500000
1.79985489 -34.97350000
1.80814914 -34.97200000
1.81644342 -34.97070000
1.82473767 -34.96930000
1.83303194 -34.96810000
1.84132619 -34.96690000
1.84962047 -34.96580000
1.85791472 -34.96480000
1.86620899 -34.96380000
1.87450325 -34.96290000
1.88279752 -34.96210000
1.89109177 -34.96140000
1.89938605 -34.96070000
1.90768030 -34.96010000
1.91597457 -34.95960000
1.92426883 -34.95920000
1.93256310 -34.95880000
1.94085735 -34.95850000
1.94915163 -34.95840000
1.95744588 -34.95820000
1.96574015 -34.95820000
1.96574015 -34.95820000
1.98010624 -34.95820000
1.99447235 -34.95810000
2.00883844 -34.95790000
2.02320455 -34.95770000
2.03757064 -34.95740000
2.05193673 -34.95700000
2.06630284 -34.95660000
2.08066893 -34.95620000
2.09503504 -34.95560000
2.10940113 -34.95500000
2.12376722 -34.95440000
2.13813333 -34.95370000
2.15249942 -34.95290000
2.16686551 -34.95210000
2.18123162 -34.95120000
2.19559771 -34.95030000
2.20996383 -34.94930000
2.22432991 -34.94820000
2.23869600 -34.94720000
2.25306212 -34.94600000
2.26742820 -34.94480000
2.28179432 -34.94360000
2.29616041 -34.94240000
2.31052649 -34.94110000
2.32489261 -34.93970000
2.33925870 -34.93840000
2.35362481 -34.93700000
2.36799090 -34.93550000
2.38235699 -34.93400000
2.39672310 -34.93260000
2.41108919 -34.93100000
2.42545530 -34.92950000
2.43982139 -34.92790000
2.45418748 -34.92640000
2.46855359 -34.92480000
2.48291968 -34.92320000
2.49728579 -34.92160000
2.51165188 -34.91990000
2.52601797 -34.91830000
2.54038408 -34.91670000
2.55475017 -34.91510000
2.56911626 -34.91340000
2.58348237 -34.91180000
2.59784846 -34.91020000
2.61221457 -34.90860000
2.62658066 -34.90700000
2.64094675 -34.90550000
2.65531286 -34.90390000
2.66967895 -34.90240000
2.68404506 -34.90090000
2.69841115 -34.89940000
2.71277724 -34.89800000
2.72714335 -34.89660000
2.74150944 -34.89520000
2.75587555 -34.89380000
2.77024164 -34.89250000
2.78460773 -34.89120000
2.79897384 -34.89000000
2.81333993 -34.88880000
2.82770604 -34.88770000
2.84207213 -34.88660000
2.85643822 -34.88550000
2.87080433 -34.88450000
2.88517042 -34.88360000
2.89953653 -34.88270000
2.91390262 -34.88190000
2.92826871 -34.88110000
2.94263482 -34.88030000
2.95700091 -34.87970000
2.97136700 -34.87910000
2.98573311 -34.87850000
3.00009920 -34.87810000
3.01446531 -34.87760000
3.02883140 -34.87730000
3.04319749 -34.87700000
3.05756360 -34.87680000
3.07192969 -34.87660000
3.08629580 -34.87650000
3.10066189 -34.87650000

0.00000000 -14.06040000
0.01658854 -14.05960000
0.03317705 -14.05720000
0.04976559 -14.05330000
0.06635409 -14.04780000
0.08294264 -14.04070000
0.09953114 -14.03210000
0.11611968 -14.02200000
0.13270819 -14.01030000
0.14929673 -13.99710000
0.16588523 -13.98240000
0.18247377 -13.96620000
0.19906228 -13.94860000
0.21565082 -13.92950000
0.23223932 -13.90910000
0.24882787 -13.88720000
0.26541637 -13.86390000
0.28200491 -13.83940000
0.29859342 -13.81350000
0.31518196 -13.78640000
0.33177046 -13.75800000
0.34835901 -13.72840000
0.36494751 -13.69760000
0.38153605 -13.66580000
0.39812456 -13.63280000
0.41471310 -13.59880000
0.43130160 -13.56380000
0.44789015 -13.52790000
0.46447865 -13.49110000
0.48106719 -13.45340000
0.49765570 -13.41500000
0.51424424 -13.37580000
0.53083274 -13.33590000
0.54742129 -13.29540000
0.56400979 -13.25430000
0.58059833 -13.21280000
0.59718683 -13.17080000
0.61377538 -13.12850000
0.63036388 -13.08580000
0.64695242 -13.04300000
0.66354093 -13.00000000
0.68012947 -12.95690000
0.69671797 -12.91380000
0.71330652 -12.87080000
0.72989502 -12.82800000
0.74648356 -12.78540000
0.76307207 -12.74310000
0.77966061 -12.70120000
0.79624911 -12.65980000
0.81283766 -12.61900000
0.82942616 -12.57880000
0.84601470 -12.53940000
0.86260321 -12.50080000
0.87919175 -12.46300000
0.89578025 -12.42630000
0.91236880 -12.39060000
0.92895730 -12.35610000
0.94554584 -12.32270000
0.96213435 -12.29060000
0.97872289 -12.25980000
0.99531139 -12.23050000
1.01189993 -12.20250000
1.02848844 -12.17610000
1.04507698 -12.15110000
1.06166548 -12.12780000
1.07825403 -12.10600000
1.09484253 -12.08580000
1.11143107 -12.06730000
1.12801958 -12.05030000
1.14460812 -12.03500000
1.16119662 -12.02140000
1.17778517 -12.00930000
1.19437367 -11.99880000
1.21096221 -11.98980000
1.22755072 -11.98240000
1.24413926 -11.97640000
1.26072776 -11.97180000
1.27731631 -11.96860000
1.29390481 -11.96680000
1.31049335 -11.96620000
1.31049335 -11.96620000
1.31878762 -11.96630000
1.32708188 -11.96670000
1.33537615 -11.96750000
1.34367040 -11.96850000
1.35196468 -11.96970000
1.36025893 -11.97120000
1.36855320 -11.97300000
1.37684746 -11.97500000
1.38514173 -11.97720000
1.39343598 -11.97970000
1.40173026 -11.98240000
1.41002451 -11.98520000
1.41831878 -11.98830000
1.42661304 -11.99150000
1.43490731 -11.99500000
1.44320156 -11.99850000
1.45149584 -12.00230000
1.45979009 -12.00620000
1.46808436 -12.01020000
1.47637862 -12.01440000
1.48467289 -12.01860000
1.49296714 -12.02300000
1.50126141 -12.02750000
1.50955567 -12.03210000
1.51784994 -12.03680000
1.52614419 -12.04150000
1.53443847 -12.04640000
1.54273272 -12.05120000
1.55102699 -12.05620000
1.55932125 -12.06110000
1.56761552 -12.06610000
