# energy dos
2.361199999999999743e+00 5.988800000000000345e+00
2.545699999999999630e+00 4.742899999999999672e+00
2.730099999999999749e+00 2.803500000000000103e+00
2.914599999999999635e+00 2.467600000000000016e+00
3.098999999999999755e+00 3.073799999999999866e+00
3.283499999999999641e+00 2.116899999999999782e+00
3.467999999999999527e+00 1.429000000000000048e+00
3.652399999999999647e+00 1.550899999999999945e+00
3.836899999999999533e+00 1.678600000000000092e+00
4.021300000000000097e+00 2.532000000000000028e+00
4.205799999999999983e+00 2.666199999999999903e+00
4.390299999999999869e+00 1.455600000000000005e+00
4.574699999999999989e+00 7.297000000000000153e-01
4.759199999999999875e+00 2.610000000000000167e-02
4.943599999999999994e+00 0.000000000000000000e+00
5.128099999999999881e+00 0.000000000000000000e+00
5.312599999999999767e+00 0.000000000000000000e+00
5.496999999999999886e+00 0.000000000000000000e+00
5.681499999999999773e+00 9.279999999999999361e-02
5.865899999999999892e+00 2.586999999999999855e-01
6.050399999999999778e+00 3.756999999999999784e-01
6.234899999999999665e+00 9.089000000000000412e-01
6.419299999999999784e+00 1.271099999999999897e+00
6.603799999999999670e+00 1.114900000000000002e+00
