#k-distance eigenvalue[eV]
1.83479133 -34.91040000
1.84316936 -34.90890000
1.85154741 -34.90750000
1.85992545 -34.90620000
1.86830350 -34.90500000
1.87668153 -34.90380000
1.88505959 -34.90270000
1.89343762 -34.90180000
1.90181567 -34.90080000
1.91019371 -34.90000000
1.91857176 -34.89930000
1.92694980 -34.89860000
1.93532785 -34.89810000
1.94370588 -34.89760000
1.95208394 -34.89720000
1.96046197 -34.89690000
1.96884002 -34.89670000
1.97721806 -34.89650000
1.98559611 -34.89650000
1.98559611 -34.89650000
2.00010731 -34.89650000
2.01461854 -34.89630000
2.02912974 -34.89620000
2.04364096 -34.89590000
2.05815216 -34.89560000
2.07266336 -34.89520000
2.08717459 -34.89480000
2.10168579 -34.89420000
2.11619701 -34.89360000
2.13070821 -34.89300000
2.14521941 -34.89230000
2.15973064 -34.89150000
2.17424184 -34.89060000
2.18875304 -34.88970000
2.20326426 -34.88870000
2.21777547 -34.88770000
2.23228669 -34.88660000
2.24679789 -34.88550000
2.26130909 -34.88420000
2.27582032 -34.88300000
2.29033152 -34.88170000
2.30484274 -34.88030000
2.31935394 -34.87890000
2.33386514 -34.87750000
2.34837637 -34.87600000
2.36288757 -34.87450000
2.37739879 -34.87290000
2.39190999 -34.87130000
2.40642119 -34.86970000
2.42093242 -34.86810000
2.43544362 -34.86640000
2.44995484 -34.86470000
2.46446604 -34.86290000
2.47897725 -34.86120000
2.49348847 -34.85940000
2.50799967 -34.85760000
2.52251089 -34.85580000
2.53702210 -34.85410000
2.55153330 -34.85230000
2.56604452 -34.85040000
2.58055572 -34.84860000
2.59506692 -34.84680000
2.60957815 -34.84510000
2.62408935 -34.84330000
2.63860057 -34.84150000
2.65311177 -34.83980000
2.66762297 -34.83800000
2.68213420 -34.83630000
2.69664540 -34.83460000
2.71115662 -34.83290000
2.72566782 -34.83130000
2.74017903 -34.82970000
2.75469025 -34.82810000
2.76920145 -34.82660000
2.78371267 -34.82510000
2.79822388 -34.82360000
2.81273508 -34.82220000
2.82724630 -34.82080000
2.84175750 -34.81950000
2.85626873 -34.81820000
2.87077993 -34.81700000
2.88529113 -34.81590000
2.89980235 -34.81470000
2.91431355 -34.81370000
2.92882478 -34.81270000
2.94333598 -34.81180000
2.95784718 -34.81090000
2.97235840 -34.81010000
2.98686960 -34.80940000
3.00138080 -34.80870000
3.01589203 -34.80810000
3.03040323 -34.80760000
3.04491445 -34.80710000
3.05942565 -34.80670000
3.07393686 -34.80640000
3.08844808 -34.80610000
3.10295928 -34.80590000
3.11747051 -34.80580000
3.13198171 -34.80580000

0.00000000 -14.15810000
0.01675610 -14.15730000
0.03351217 -14.15480000
0.05026827 -14.15070000
0.06702434 -14.14490000
0.08378044 -14.13750000
0.10053650 -14.12850000
0.11729261 -14.11790000
0.13404867 -14.10570000
0.15080478 -14.09190000
0.16756084 -14.07650000
0.18431694 -14.05960000
0.20107301 -14.04110000
0.21782911 -14.02120000
0.23458518 -13.99970000
0.25134128 -13.97680000
0.26809734 -13.95250000
0.28485345 -13.92670000
0.30160951 -13.89960000
0.31836562 -13.87120000
0.33512168 -13.84140000
0.35187778 -13.81040000
0.36863385 -13.77820000
0.38538995 -13.74480000
0.40214602 -13.71020000
0.41890212 -13.67460000
0.43565818 -13.63790000
0.45241429 -13.60010000
0.46917035 -13.56150000
0.48592646 -13.52190000
0.50268252 -13.48150000
0.51943862 -13.44040000
0.53619469 -13.39840000
0.55295079 -13.35590000
0.56970686 -13.31270000
0.58646296 -13.26900000
0.60321902 -13.22480000
0.61997513 -13.18020000
0.63673119 -13.13520000
0.65348730 -13.09000000
0.67024336 -13.04470000
0.68699946 -12.99920000
0.70375553 -12.95370000
0.72051163 -12.90830000
0.73726770 -12.86300000
0.75402380 -12.81790000
0.77077986 -12.77310000
0.78753597 -12.72870000
0.80429203 -12.68490000
0.82104814 -12.64160000
0.83780420 -12.59890000
0.85456030 -12.55700000
0.87131637 -12.51600000
0.88807247 -12.47590000
0.90482854 -12.43680000
0.92158464 -12.39880000
0.93834070 -12.36190000
0.95509681 -12.32640000
0.97185287 -12.29210000
0.98860898 -12.25930000
1.00536504 -12.22790000
1.02212114 -12.19800000
1.03887721 -12.16970000
1.05563331 -12.14310000
1.07238938 -12.11810000
1.08914548 -12.09470000
1.10590154 -12.07310000
1.12265765 -12.05320000
1.13941371 -12.03510000
1.15616982 -12.01870000
1.17292588 -12.00400000
1.18968198 -11.99100000
1.20643805 -11.97980000
1.22319415 -11.97020000
1.23995022 -11.96220000
1.25670632 -11.95570000
1.27346238 -11.95090000
1.29021849 -11.94740000
1.30697455 -11.94540000
1.32373066 -11.94480000
1.32373066 -11.94480000
1.33210871 -11.94490000
1.34048674 -11.94540000
1.34886480 -11.94620000
1.35724283 -11.94730000
1.36562088 -11.94860000
1.37399892 -11.95020000
1.38237697 -11.95210000
1.39075500 -11.95430000
1.39913306 -11.95670000
1.40751109 -11.95930000
1.41588914 -11.96210000
1.42426718 -11.96520000
1.43264523 -11.96850000
1.44102327 -11.97200000
1.44940132 -11.97560000
1.45777935 -11.97950000
1.46615741 -11.98350000
1.47453544 -11.98770000
1.48291349 -11.99200000
1.49129153 -11.99640000
1.49966958 -12.00100000
1.50804761 -12.00570000
1.51642567 -12.01050000
1.52480370 -12.01540000
1.53318176 -12.02040000
1.54155979 -12.02550000
1.54993784 -12.03070000
1.55831588 -12.03590000
1.56669393 -12.04120000
1.57507196 -12.04650000
1.58345002 -12.05180000
1.59182805 -12.05720000
1.60020610 -12.06260000
1.60858414 -12.06810000
1.61696219 -12.07350000
1.62534023 -12.07890000
1.63371828 -12.08430000
1.64209631 -12.08970000
1.65047437 -12.09500000
1.65885240 -12.10040000
1.66723045 -12.10570000
1.67560849 -12.11090000
1.68398654 -12.11610000
1.69236457 -12.12120000
1.70074263 -12.12620000
1.70912066 -12.13120000
1.71749871 -12.13610000
1.72587675 -12.14090000
1.73425480 -12.14560000
1.74263284 -12.15030000
1.75101089 -12.15480000
1.75938892 -12.15920000
1.76776698 -12.16350000
1.77614501 -12.16760000
1.78452306 -12.17170000
1.79290110 -12.17560000
1.80127915 -12.17940000
1.80965718 -12.18300000
1.81803524 -12.18650000
1.82641327 -12.18990000
1.83479133 -12.19310000
1.84316936 -12.19610000
1.85154741 -12.19900000
1.85992545 -12.20170000
1.86830350 -12.20430000
1.87668153 -12.20670000
1.88505959 -12.20900000
1.89343762 -12.21100000
1.90181567 -12.21290000
1.91019371 -12.21460000
1.91857176 -12.21620000
1.92694980 -12.21760000
1.93532785 -12.21870000
1.94370588 -12.21980000
1.95208394 -12.22060000
1.96046197 -12.22120000
1.96884002 -12.22170000
1.97721806 -12.22200000
1.98559611 -12.22200000
1.98559611 -12.22200000
2.00010731 -12.22310000
2.01461854 -12.22610000
2.02912974 -12.23120000
2.04364096 -12.23820000
2.05815216 -12.24730000
2.07266336 -12.25830000
2.08717459 -12.27120000
2.10168579 -12.28590000
2.11619701 -12.30250000
2.13070821 -12.32080000
2.14521941 -12.34070000
2.15973064 -12.36240000
2.17424184 -12.38550000
2.18875304 -12.41020000
2.20326426 -12.43630000
2.21777547 -12.46370000
2.23228669 -12.49240000
2.24679789 -12.52230000
2.26130909 -12.55320000
2.27582032 -12.58520000
2.29033152 -12.61810000
2.30484274 -12.65190000
2.31935394 -12.68650000
2.33386514 -12.72180000
2.34837637 -12.75770000
2.36288757 -12.79420000
2.37739879 -12.83110000
2.39190999 -12.86850000
2.40642119 -12.90620000
2.42093242 -12.94420000
2.43544362 -12.98230000
2.44995484 -13.02070000
2.46446604 -13.05910000
2.47897725 -13.09750000
2.49348847 -13.13590000
2.50799967 -13.17410000
2.52251089 -13.21220000
2.53702210 -13.25010000
2.55153330 -13.28770000
2.56604452 -13.32500000
2.58055572 -13.36200000
2.59506692 -13.39850000
2.60957815 -13.43460000
2.62408935 -13.47020000
2.63860057 -13.50520000
2.65311177 -13.53970000
2.66762297 -13.57350000
2.68213420 -13.60670000
2.69664540 -13.63910000
2.71115662 -13.67080000
2.72566782 -13.70180000
2.74017903 -13.73200000
2.75469025 -13.76130000
2.76920145 -13.78980000
2.78371267 -13.81730000
2.79822388 -13.84400000
2.81273508 -13.86970000
