#k-distance eigenvalue[eV]
1.91329313 -36.70210000
1.91885503 -36.70220000
1.92441697 -36.70230000
1.92997887 -36.70250000
1.93554077 -36.70260000
1.94110270 -36.70280000
1.94666460 -36.70290000
1.95222650 -36.70300000
1.95778840 -36.70320000
1.96335034 -36.70330000
1.96891223 -36.70350000
1.97447413 -36.70360000
1.98003607 -36.70380000
1.98559797 -36.70400000
1.98559797 -36.70400000
2.00228366 -36.70350000
2.01896936 -36.70300000
2.03565505 -36.70260000
2.05234075 -36.70220000
2.06902644 -36.70180000
2.08571214 -36.70150000
2.10239783 -36.70120000
2.11908356 -36.70090000
2.13576926 -36.70060000
2.15245495 -36.70040000
2.16914065 -36.70020000
2.18582634 -36.70000000
2.20251204 -36.69990000
2.21919773 -36.69970000
2.23588343 -36.69970000
2.25256912 -36.69960000
2.26925482 -36.69950000
2.28594051 -36.69950000
2.30262620 -36.69950000
2.31931190 -36.69960000
2.33599759 -36.69960000
2.35268329 -36.69970000
2.36936902 -36.69980000
2.38605472 -36.69990000
2.40274041 -36.70000000
2.41942611 -36.70010000
2.43611180 -36.70030000
2.45279749 -36.70040000
2.46948319 -36.70060000
2.48616888 -36.70070000
2.50285458 -36.70090000
2.51954027 -36.70100000
2.53622597 -36.70120000
2.55291166 -36.70130000
2.56959736 -36.70140000
2.58628305 -36.70150000
2.60296875 -36.70160000
2.61965448 -36.70170000
2.63634017 -36.70170000
2.65302587 -36.70170000
2.66971156 -36.70170000
2.68639726 -36.70160000
2.70308295 -36.70150000
2.71976865 -36.70140000
2.73645434 -36.70120000
2.75314004 -36.70090000
2.76982573 -36.70060000
2.78651143 -36.70020000
2.80319712 -36.69980000
2.81988281 -36.69930000
2.83656851 -36.69880000
2.85325420 -36.69810000
2.86993994 -36.69740000
2.88662563 -36.69670000
2.90331133 -36.69580000
2.91999702 -36.69490000
2.93668272 -36.69390000
2.95336841 -36.69280000
2.97005410 -36.69170000
2.98673980 -36.69040000
3.00342549 -36.68910000
3.02011119 -36.68770000
3.03679688 -36.68620000
3.05348258 -36.68470000
3.07016827 -36.68310000
3.08685397 -36.68140000
3.10353970 -36.67960000
3.12022540 -36.67780000
3.13691109 -36.67590000
3.15359678 -36.67390000
3.17028248 -36.67190000
3.18696817 -36.66980000
3.20365387 -36.66770000
3.22033956 -36.66550000
3.23702526 -36.66320000
3.25371095 -36.66100000
3.27039665 -36.65860000
3.28708234 -36.65630000
3.30376804 -36.65390000
3.32045373 -36.65150000
3.33713942 -36.64910000
3.35382516 -36.64670000
3.37051085 -36.64420000
3.38719655 -36.64180000
3.40388224 -36.63930000
3.42056794 -36.63690000
3.43725363 -36.63450000
3.45393933 -36.63210000
3.47062502 -36.62970000
3.48731072 -36.62730000
3.50399641 -36.62500000
3.52068210 -36.62270000
3.53736780 -36.62040000
3.55405349 -36.61820000
