# energy dos(up) dos(down)
-3.688289999999999935e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.687250000000000227e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.686209999999999809e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.685160000000000480e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.684120000000000061e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.683080000000000354e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.682030000000000314e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.680989999999999895e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.679950000000000188e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.678900000000000148e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.677860000000000440e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.676820000000000022e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.675780000000000314e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.674730000000000274e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.673689999999999856e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.672650000000000148e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.671600000000000108e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.670560000000000400e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.669519999999999982e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.668469999999999942e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.667430000000000234e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.666389999999999816e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.665350000000000108e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.664300000000000068e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.663260000000000360e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.662219999999999942e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.661169999999999902e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.660130000000000194e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.659090000000000487e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.658050000000000068e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.657000000000000028e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.655960000000000321e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.654919999999999902e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.653869999999999862e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.652830000000000155e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.651790000000000447e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.650740000000000407e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.649699999999999989e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.648660000000000281e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.647619999999999862e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.646569999999999823e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.645530000000000115e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.644490000000000407e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.643440000000000367e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.642399999999999949e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.641360000000000241e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.640310000000000201e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.639270000000000493e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.638230000000000075e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.637190000000000367e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.636140000000000327e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.635099999999999909e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.634060000000000201e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.633010000000000161e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.631970000000000454e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.630930000000000035e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.629879999999999995e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.628840000000000288e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.627799999999999869e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.626760000000000161e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.625710000000000122e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.624670000000000414e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.623629999999999995e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.622579999999999956e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.621540000000000248e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.620499999999999829e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.619450000000000500e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.618410000000000082e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.617370000000000374e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.616329999999999956e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.615279999999999916e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.614240000000000208e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.613200000000000500e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.612150000000000460e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.611110000000000042e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.610070000000000334e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.609020000000000294e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.607979999999999876e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.606940000000000168e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.605900000000000460e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.604850000000000421e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.603810000000000002e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.602770000000000294e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.601720000000000255e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.600679999999999836e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.599640000000000128e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.598590000000000089e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.597550000000000381e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.596509999999999962e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.595470000000000255e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.594420000000000215e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.593379999999999797e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.592340000000000089e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.591290000000000049e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.590250000000000341e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.589209999999999923e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.588159999999999883e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.587120000000000175e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.586080000000000467e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.585040000000000049e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.583990000000000009e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.582950000000000301e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.581909999999999883e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.580859999999999843e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.579820000000000135e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.578780000000000427e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.577730000000000388e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.576689999999999969e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.575650000000000261e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.574609999999999843e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.573559999999999803e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.572520000000000095e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.571480000000000388e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.570430000000000348e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.569389999999999930e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.568350000000000222e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.567300000000000182e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.566260000000000474e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.565220000000000056e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.564180000000000348e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.563130000000000308e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.562089999999999890e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.561050000000000182e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.560000000000000142e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.558960000000000434e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.557920000000000016e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.556869999999999976e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.555830000000000268e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.554789999999999850e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.553750000000000142e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.552700000000000102e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.551660000000000394e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.550619999999999976e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.549569999999999936e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.548530000000000229e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.547489999999999810e+01 2.000000000000000096e-04 -2.000000000000000096e-04
-3.546440000000000481e+01 5.000000000000000104e-04 -5.000000000000000104e-04
-3.545400000000000063e+01 1.600000000000000077e-03 -1.600000000000000077e-03
-3.544360000000000355e+01 4.700000000000000185e-03 -4.700000000000000185e-03
-3.543319999999999936e+01 1.239999999999999956e-02 -1.239999999999999956e-02
-3.542269999999999897e+01 3.039999999999999994e-02 -3.039999999999999994e-02
-3.541230000000000189e+01 6.869999999999999718e-02 -6.869999999999999718e-02
-3.540190000000000481e+01 1.439000000000000001e-01 -1.439000000000000001e-01
-3.539140000000000441e+01 2.797999999999999932e-01 -2.797999999999999932e-01
-3.538100000000000023e+01 5.057000000000000384e-01 -5.057000000000000384e-01
-3.537060000000000315e+01 8.515000000000000346e-01 -8.515000000000000346e-01
-3.536010000000000275e+01 1.339199999999999946e+00 -1.339199999999999946e+00
-3.534969999999999857e+01 1.972199999999999953e+00 -1.972199999999999953e+00
-3.533930000000000149e+01 2.727100000000000080e+00 -2.727100000000000080e+00
-3.532890000000000441e+01 3.550699999999999967e+00 -3.550699999999999967e+00
-3.531840000000000401e+01 4.365300000000000402e+00 -4.365300000000000402e+00
-3.530799999999999983e+01 5.081699999999999662e+00 -5.081699999999999662e+00
-3.529760000000000275e+01 5.617799999999999905e+00 -5.617799999999999905e+00
-3.528710000000000235e+01 5.917600000000000193e+00 -5.917600000000000193e+00
-3.527669999999999817e+01 5.966400000000000148e+00 -5.966400000000000148e+00
-3.526630000000000109e+01 5.796700000000000408e+00 -5.796700000000000408e+00
-3.525580000000000069e+01 5.483299999999999841e+00 -5.483299999999999841e+00
-3.524540000000000362e+01 5.129500000000000171e+00 -5.129500000000000171e+00
-3.523499999999999943e+01 4.848399999999999821e+00 -4.848399999999999821e+00
-3.522460000000000235e+01 4.745700000000000252e+00 -4.745700000000000252e+00
-3.521410000000000196e+01 4.908800000000000274e+00 -4.908800000000000274e+00
-3.520370000000000488e+01 5.401699999999999946e+00 -5.401699999999999946e+00
-3.519330000000000069e+01 6.261800000000000033e+00 -6.261800000000000033e+00
-3.518280000000000030e+01 7.495899999999999785e+00 -7.495899999999999785e+00
-3.517240000000000322e+01 9.070700000000000429e+00 -9.070700000000000429e+00
-3.516199999999999903e+01 1.090090000000000003e+01 -1.090090000000000003e+01
-3.515149999999999864e+01 1.284009999999999962e+01 -1.284009999999999962e+01
-3.514110000000000156e+01 1.468410000000000082e+01 -1.468410000000000082e+01
